"id";"species";"test_date";"test_time";"test_order";"fin_clip";"video_box";"camera";"ISO";"Exposure";"observer";"sociality_barred_id";"sociality_black_id";"capture_date";"release_date";"location";"depth_feet";"home_tank";"tank_mate_id";"home_tank_combination";"SDL_cm";"remarks_home";"remarks_test";"trial";"Distance_moved_cm";"Velocity_cm.s";"In_zone_Frequency";"In_zone_cum_duration";"In_zone_latency";"Acceleration_min_cm.s2";"Acceleration_max_cm.s2";"vid_id";"Distance_per_body_length";"Velocity_body_length.s"
"BD22-131";"barred";"05.11.2022";"14:29:00";"OFT_ESC_SOC";"bottom";"L";"7607";1800;1;"MH";"BD22-109";"BD22-117";"03.11.2022";"10.11.2022";"Solarte_B";"10";"7";"BD22-132";"black_barred";8,58;"";"";"Trial   107";15,4404;0,0285926;1;540,049;0;-527,026;527,026;"E:\test_videos\OFT\vids_cut\r_aligned\131_OFT.mov-cut.mov";1,79958041958042;0,00333247086247086
"BD22-132";"black";"05.11.2022";"14:30:00";"OFT_ESC_SOC";"bottom";"R";"0A4F";1800;1;"MH";"BD22-115";"BD22-118";"03.11.2022";"07.11.2022";"Solarte_B";"10";"7";"BD22-131";"black_barred";8,47;"";"fish had dark spots on fin and skin, maybe not healthy, see pictures";"Trial    86";288,891;0,534967;1;540,049;0;-666,757;666,757;"E:\test_videos\OFT\vids_cut\l_algned\132_OFT.MP4-cut.mov";34,1075560802834;0,063160212514758
"BD22-133";"barred";"09.11.2022";"12:29:00";"OFT_ESC_SOC";"bottom";"L";NA;1800;1;"MH";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"1";"BD22-134";"black_barred";7,42;"";"";"Trial    64";144,94;0,2684;1;540,049;0;-859,887;918,802;"E:\test_videos\OFT\vids_cut\133_OFT.MP4-cut.mov";19,533692722372;0,0361725067385445
"BD22-134";"black";"09.11.2022";"12:30:00";"OFT_ESC_SOC";"bottom";"R";NA;1800;1;"MH";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"1";"BD22-133";"black_barred";7,84;"";"";"Trial    65";8698,23;16,1074;1;540,049;0;-901,488;966,365;"E:\test_videos\OFT\vids_cut\134_OFT.mov-cut.mov";1109,4681122449;2,05451530612245
"BD22-135";"barred";"09.11.2022";"09:50:00";"OFT_ESC_SOC";"bottom";"L";NA;1800;1;"JG";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"2";"BD22-136";"barred_barred";7,9;"";"";"Trial    66";152,328;0,282081;1;540,049;0;-860,312;883,464;"E:\test_videos\OFT\vids_cut\135_OFT.MP4-cut.mov";19,2820253164557;0,0357064556962025
"BD22-136";"barred";"09.11.2022";"09:53:00";"OFT_ESC_SOC";"top";"R";NA;1800;1;"JG";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"2";"BD22-135";"barred_barred";7,62;"";"";"Trial    67";7271,41;13,4652;1;540,049;0;-899,476;954,93;"E:\test_videos\OFT\vids_cut\136_OFT.mov-cut.mov";954,253280839895;1,76708661417323
"BD22-137";"black";"09.11.2022";"10:36:00";"OFT_ESC_SOC";"bottom";"L";NA;1800;1;"JG";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"3";"BD22-138";"black_black";8,44;"";"";"Trial    68";1442,01;2,67031;1;540,049;0;-883,427;918,892;"E:\test_videos\OFT\vids_cut\137_OFT.MP4-cut.mov";170,854265402844;0,316387440758294
"BD22-138";"black";"09.11.2022";"10:38:00";"OFT_ESC_SOC";"top";"R";NA;1800;1;"JG";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"3";"BD22-137";"black_black";8,27;"";"";"Trial    69";12,0607;0,0223341;1;540,049;0;-504,084;504,084;"E:\test_videos\OFT\vids_cut\138_OFT.mov-cut.mov";1,45836759371221;0,00270061668681983
"BD22-139";"black";"09.11.2022";"11:42:00";"OFT_ESC_SOC";"top";"L";NA;1800;1;"MH";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"4";"BD22-140";"black_barred";8,43;"";"";"Trial    70";279,9;0,518318;1;540,049;0;-866,618;906,632;"E:\test_videos\OFT\vids_cut\139_OFT.MP4-cut.mov";33,202846975089;0,0614849347568209
"BD22-140";"barred";"09.11.2022";"11:43:00";"OFT_ESC_SOC";"top";"R";NA;1800;1;"MH";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"4";"BD22-139";"black_barred";8,39;"";"";"Trial    71";293,135;0,542827;1;540,049;0;-869,376;869,376;"E:\test_videos\OFT\vids_cut\140_OFT.mov-cut.mov";34,9386174016687;0,0646992848629321
"BD22-141";"black";"09.11.2022";"09:05:00";"OFT_ESC_SOC";"bottom";"L";NA;1800;1;"JG";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"5";"BD22-142";"black_black";7,65;"";"";"Trial    72";5309,06;9,83131;1;540,049;0;-897,935;942,54;"E:\test_videos\OFT\vids_cut\141_OFT.MP4-cut.mov";693,99477124183;1,2851385620915
"BD22-142";"black";"09.11.2022";"09:08:00";"OFT_ESC_SOC";"top";"R";NA;1800;1;"JG";"BD22-128/131";"BD22-127/129";"07.11.2022";"10.11.2022";"Bastimentos_A2";"20";"5";"BD22-141";"black_black";7,66;"";"";"Trial    73";945,669;1,75201;1;540,061;0;-1966,04;2667,01;"E:\test_videos\OFT\vids_cut\142_OFT.mov-cut.mov";123,455483028721;0,228721932114883
